Id,Title,RegistrationDateTime,StartDateTime,EndDateTime,Importance,Urgency,Percentage,Description,Author
8b2a4482-35c8-411e-aab9-6ce490b3be01,Задача № 1,2024-01-01T00:00:00.0,2024-01-01T00:00:00.0,,очень низкий,false,100,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
ec247f48-f86c-45c8-ab2f-7510e4640002,Задача № 2,2024-01-02T00:00:00.0,2024-01-02T00:00:00.0,2024-01-06T00:00:00.0,очень низкий,false,0,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
b0d29fa9-cfd4-41e2-9753-f9b5f40e9803,Задача № 3,2024-01-03T00:00:00.0,2024-01-03T00:00:00.0,2024-01-04T00:00:00.0,критический,true,90,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
a89723c3-0bfe-41b1-b7b9-db67a8c47004,Задача № 4,2024-01-04T00:00:00.0,2024-01-04T00:00:00.0,,очень низкий,false,0,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
5bdb77b9-3a66-4217-b6fe-2eaaf9e54205,Задача № 5,2024-01-05T00:00:00.0,2024-01-05T00:00:00.0,,высокий,false,70,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
2aeaf2b4-ad18-4686-a69c-9d9baa34fe06,Задача № 6,2024-01-06T00:00:00.0,2024-01-06T00:00:00.0,,очень низкий,true,5,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
8b2a4482-35c8-411e-aab9-6ce490b3be07,Задача № 7,2024-01-01T00:00:00.0,2024-01-01T00:00:00.0,,очень низкий,false,100,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
ec247f48-f86c-45c8-ab2f-7510e4640008,Задача № 8,2024-01-02T00:00:00.0,2024-01-02T00:00:00.0,2024-01-06T00:00:00.0,очень низкий,false,0,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
b0d29fa9-cfd4-41e2-9753-f9b5f40e9809,Задача № 9,2024-01-03T00:00:00.0,2024-01-03T00:00:00.0,2024-01-04T00:00:00.0,критический,true,90,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
a89723c3-0bfe-41b1-b7b9-db67a8c47010,Задача № 10,2024-01-04T00:00:00.0,2024-01-04T00:00:00.0,,очень низкий,false,0,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
5bdb77b9-3a66-4217-b6fe-2eaaf9e54011,Задача № 11,2024-01-05T00:00:00.0,2024-01-05T00:00:00.0,,высокий,false,70,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
2aeaf2b4-ad18-4686-a69c-9d9baa34f012,Задача № 12,2024-01-06T00:00:00.0,2024-01-06T00:00:00.0,,очень низкий,true,5,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
5bdb77b9-3a66-4217-b6fe-2eaaf9e54013,Задача № 11,2024-01-05T00:00:00.0,2024-01-05T00:00:00.0,,высокий,false,70,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
5bdb77b9-3a66-4217-b6fe-2eaaf9e54014,Задача № 11,2024-01-05T00:00:00.0,2024-01-05T00:00:00.0,,высокий,false,70,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
5bdb77b9-3a66-4217-b6fe-2eaaf9e54015,Задача № 11,2024-01-05T00:00:00.0,2024-01-05T00:00:00.0,,высокий,false,70,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
5bdb77b9-3a66-4217-b6fe-2eaaf9e54016,Задача № 11,2024-01-05T00:00:00.0,2024-01-05T00:00:00.0,,высокий,false,70,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
5bdb77b9-3a66-4217-b6fe-2eaaf9e54017,Задача № 11,2024-01-05T00:00:00.0,2024-01-05T00:00:00.0,,высокий,false,70,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
5bdb77b9-3a66-4217-b6fe-2eaaf9e54018,Задача № 11,2024-01-05T00:00:00.0,2024-01-05T00:00:00.0,,высокий,false,70,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
5bdb77b9-3a66-4217-b6fe-2eaaf9e54019,Задача № 11,2024-01-05T00:00:00.0,2024-01-05T00:00:00.0,,высокий,false,70,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
5bdb77b9-3a66-4217-b6fe-2eaaf9e54020,Задача № 11,2024-01-05T00:00:00.0,2024-01-05T00:00:00.0,,высокий,false,70,задача,de42a00f-7f43-4d10-808d-bee47fdeef49
